stato;cag;int1Socio;int2Socio;codFil;int1Filiale;telefono;Email;PEC
;00021879;IMP.RI.S. SPA;;100;CHIANTIBANCA IMPRESE;0039-345-9940568;;impris@legalmail.it
;00041605;ELECTRA SRL;;100;CHIANTIBANCA IMPRESE;0039-0577-934536;;
;00045123;IMER INTERNATIONAL SPA;;100;CHIANTIBANCA IMPRESE;0039-0577-983300;;
;00290884;SIRTAM S.P.A.;;100;CHIANTIBANCA IMPRESE;0039-0573-939479;;
;00320013;GIUSTO MANETTI BATTILORO S.P.A.;;100;CHIANTIBANCA IMPRESE;;;
;00333805;GOPOWER SRL;;100;CHIANTIBANCA IMPRESE;0039-375-6340785;;gopower@pec.it
;00347538;VESTA CORPORATION SPA;;100;CHIANTIBANCA IMPRESE;0039-0571-497797;;
;00348965;FASS S.P.A.;;100;CHIANTIBANCA IMPRESE;0039-0573-848823;;fass@pec.it
;00349113;TOSCANA NON TESSUTI S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-344-0438830;;tnt@pec.it
;00360882;DREAM LAND SRL;;100;CHIANTIBANCA IMPRESE;0039-0574-32447;;dream.land@pec.it
;00363773;ETRURIA MANUFACTURING S.R.L.;;100;CHIANTIBANCA IMPRESE;;;etruriamanufacturing@pec.it
;00366503;GHIROPELLI S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-335-354579;;
;00368052;LOGINVEST S.R.L.;;100;CHIANTIBANCA IMPRESE;;;
;00371719;LAPI GELATINE S.P.A.;;100;CHIANTIBANCA IMPRESE;;;
;00376445;SPEDIMPEX S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-0571-469385;;
;00378319;PALLETS BERTINI S.P.A.;;100;CHIANTIBANCA IMPRESE;0039-366-6024428;;
;00379051;VICTORIA SRL;;100;CHIANTIBANCA IMPRESE;0039-349-1859728;;victoriasrl@pec.it
;00397363;SORELLE FIORENTINE S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-342-6402530;;sorellefiorentine@pec.it
;00420679;CONAD NORD OVEST SOCIETA' COOPERATI;VA;100;CHIANTIBANCA IMPRESE;0039-0573-920209;;conadnordovest@pec.it
;00451819;BELLATRIX SRL;;100;CHIANTIBANCA IMPRESE;0039-348-6504061;;bellatrix.srl@legalmail.it
;00457429;DIAMANTE S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-0573-366125;;diamante@pecpvs.it
;01144407;SD STORE FIRENZE SRL;;100;CHIANTIBANCA IMPRESE;0039-339-2226505;;
;01154826;FRAMAFRUIT S.P.A.;;100;CHIANTIBANCA IMPRESE;0039-055-79901;;pec@framafruit.legalmail.it
;01440131;NENCINI SPORT SPA;;100;CHIANTIBANCA IMPRESE;;;
;02026531;LA CALENZANO ASFALTI SPA;;100;CHIANTIBANCA IMPRESE;0039-335-8473022;;lacalenzanoasfalti@pec.uipservizi.it
;03023389;IMMOBILIARE LASER S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-0573-307943;;immobiliarelaser@pec.it
;03035116;LUPI AUTO S.P.A.;;100;CHIANTIBANCA IMPRESE;0039-0573-929247;;lupiauto@pec.it
;03060163;FINICOM S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-0573-938241;;fincomspa@pec.it
;03060242;RUSTICI S.P.A.;;100;CHIANTIBANCA IMPRESE;0039-335-5991136;;
;03062731;ARBI DARIO S.P.A.;;100;CHIANTIBANCA IMPRESE;0039-0572-95771;;arbi@pec.arbi.it
;03109836;CASTEL DE MILLI SOCIETA' AGRICOLA;;100;CHIANTIBANCA IMPRESE;0039-0573-479977;;casteldemilli@legalmail.it
;03113221;G.T. FARM S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-0573-530051;;gtpiante@legismail.it
;03211866;FINTEX AND PARTNERS ITALIA SPA;;100;CHIANTIBANCA IMPRESE;0039-0573-33801;;fintexpartnersitalia@pec.it
;03251492;PANAPESCA S.P.A.;;100;CHIANTIBANCA IMPRESE;05727791;;contabilita@panapesca.legalmail.it
;03258880;BARTOLI PACKAGING S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-0572-62486;;bartolipackaging@pec.it
;03265427;NICCOLAIAGRICOLTURA SRL;;100;CHIANTIBANCA IMPRESE;0039-0573-530179;;niccolai.agricoltura.srl@legalmail.it
;03271845;ARTIGIANFER DI VIRGILIO CARDELLI -;S.R.L.;100;CHIANTIBANCA IMPRESE;0039-0572-451197;;artigianfer@legalmail.it
;03272191;MONTALBANO AGRICOLA ALIMENTARE TOSC;ANA S.P.A.;100;CHIANTIBANCA IMPRESE;0039-0571-729131;;maatspa-pec@certiposta.net
;03272395;GRUPPO SIGEL ITALIA S.R.L. SB;;100;CHIANTIBANCA IMPRESE;0039-348-7814052;;
;03272968;FLORA TOSCANA SOCIETA' AGRICOLA COO;PERATIVA;100;CHIANTIBANCA IMPRESE;0039-0572-44731;;amministrazione.floratoscana@pec.it
;03274555;EUREKA S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-0573-26743;;eurekasrl@arubapec.it
;03276095;SARDIGNA S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-347-8427641;;
;03294995;MAVI-MATIC SRL;;100;CHIANTIBANCA IMPRESE;0039-393-3856482;;
;21001191;SILOSWAY - BACCETTI S.R.L.;;100;CHIANTIBANCA IMPRESE;0039-344-0320202;;
